_date,total_clones,unique_clones
2020-12-26,1,1
2021-01-04,1,1
2021-01-05,1,1
2021-01-06,11,2
2021-01-07,70,8
2021-01-08,1,1
2021-01-11,1,1
2021-01-12,4,3
2021-01-14,44,4
2021-01-15,12,3
2021-01-16,2,2
2021-01-17,20,1
2021-01-18,13,6
2021-01-19,1,1
2021-01-22,8,5
2021-01-23,46,7
2021-01-25,3,3
2021-01-28,3,2
2021-01-29,32,10
2021-01-30,1,1
2021-01-31,25,6
2021-02-01,23,3
2021-02-02,11,2
2021-02-05,34,5
2021-02-07,2,2
2021-02-08,10,7
2021-02-09,26,5
2021-02-10,2,1
2021-02-12,5,2
2021-02-13,2,1
2021-02-14,39,7
2021-02-15,4,4
2021-02-16,10,1
2021-02-17,2,2
2021-02-18,29,5
2021-02-21,2,2
2021-02-22,7,5
2021-02-25,12,2
2021-02-26,12,3
2021-02-28,1,1
2021-03-01,2,2
2021-03-02,7,2
2021-03-03,1,1
2021-03-05,1,1
2021-03-06,1,1
2021-03-07,1,1
2021-03-08,3,3
2021-03-09,2,2
2021-03-10,1,1
2021-03-11,32,9
2021-03-12,17,5
2021-03-14,35,4
2021-03-15,2,2
2021-03-16,2,2
2021-03-17,2,2
2021-03-18,2,1
2021-03-19,1,1
2021-03-21,5,5
2021-03-22,3,3
2021-03-23,3,2
2021-03-24,1,1
2021-03-25,20,1
2021-03-26,1,1
2021-03-27,1,1
2021-03-28,1,1
2021-03-29,6,6
2021-03-30,2,2
2021-03-31,10,1
2021-04-01,25,5
2021-04-02,4,1
2021-04-04,1,1
2021-04-05,2,2
2021-04-06,2,2
2021-04-07,3,2
2021-04-08,1,1
2021-04-09,8,4
2021-04-11,1,1
2021-04-12,12,3
2021-04-13,4,1
2021-04-14,1,1
2021-04-15,1,1
2021-04-16,2,1
2021-04-17,2,2
2021-04-18,2,2
2021-04-19,2,2
2021-04-20,5,3
2021-04-21,4,3
2021-04-23,19,6
